Wavel.,Raw Data,Fit Data,Brilliant Violet 605 (BV605) fit,Alexa Fluor 647 fit,Alexa Fluor 750 fit,Alexa Fluor 488 fit,Brilliant Violet 605 (BV605) coeff,Alexa Fluor 647 coeff,Alexa Fluor 750 coeff,Alexa Fluor 488 coeff
466,157.8367403807032,794.0083820264806,794.0083820264806,0.0,0.0,0.0,,,,
467,687.4688625912162,760.3308887955069,760.3308887955069,0.0,0.0,0.0,,,,
468,1101.480874732726,734.8612553709115,734.8612553709115,0.0,0.0,0.0,,,,
469,1185.7568100350225,710.7417442090763,710.7417442090763,0.0,0.0,0.0,,,,
470,338.0643385947432,688.1848851139222,688.1848851139222,0.0,0.0,0.0,,,,
471,660.9786174068872,670.4101761624866,670.4101761624866,0.0,0.0,0.0,,,,
472,508.123845249514,652.9537983533469,652.9537983533469,0.0,0.0,0.0,,,,
473,888.7519749890037,639.3184381356076,639.3184381356076,0.0,0.0,0.0,,,,
474,321.7825701579367,627.979832147376,627.979832147376,0.0,0.0,0.0,,,,
475,-119.62589616693867,954.890195064534,616.1216668634487,0.0,0.0,338.7685282010853,,,,
476,1080.8774805755197,847.8019950690275,605.0164762717837,0.0,0.0,242.78551879724378,,,,
477,767.3303042064132,761.9333234338949,594.0685673130255,0.0,0.0,167.8647561208694,,,,
478,1023.3235452163016,749.159799510367,581.7086778105029,0.0,0.0,167.4511216998641,,,,
479,1081.30257895725,766.0142004935027,568.8817992007091,0.0,0.0,197.13240129279356,,,,
480,1428.8195460836491,802.92520236476,556.9149195982687,0.0,0.0,246.01028276649134,,,,
481,1198.0650772334866,842.5639495423437,544.7042668967879,0.0,0.0,297.85968264555584,,,,
482,1501.53672628096,902.0105035449676,531.8723919917477,0.0,0.0,370.1381115532199,,,,
483,820.2597278398358,984.8962741226571,519.2309605841926,0.0,0.0,465.66531353846455,,,,
484,877.2382136845947,1081.7279808321525,504.5972550865526,0.0,0.0,577.1307257455999,,,,
485,1610.3115362980732,1217.7901941363034,489.89774829641084,0.0,0.0,727.8924458398925,,,,
486,966.9909900134776,1366.268027863025,473.0941036357896,0.0,0.0,893.1739242272354,,,,
487,518.9365054370558,1572.6842591774187,457.12855522153956,0.0,0.0,1115.5557039558792,,,,
488,933.651811931065,1803.9025327436739,439.23864700871593,0.0,0.0,1364.6638857349578,,,,
489,2276.717663428326,2100.354425560391,422.93953367424797,0.0,0.0,1677.414891886143,,,,
490,2456.127427537039,2448.628762538714,403.084771380028,0.0,0.0,2045.5439911586861,,,,
491,2600.261741889356,2839.112515833057,384.311238743156,0.0,0.0,2454.801277089901,,,,
492,3266.2603206826066,3315.337632329478,366.23630286055925,0.0,0.0,2949.1013294689187,,,,
493,3853.6971983685303,3879.1084883273293,347.77900122999745,0.0,0.0,3531.329487097332,,,,
494,4973.341954032779,4545.731565196784,328.4491042287522,0.0,0.0,4217.282460968032,,,,
495,6079.470404721504,5343.751961037947,311.78682419866436,0.0,0.0,5031.965136839282,,,,
496,6797.788508410475,6221.443074061395,295.1543750047467,0.0,0.0,5926.2886990566485,,,,
497,6953.642351196548,7253.841427631562,279.98100382116274,0.0,0.0,6973.860423810399,,,,
498,9629.594184093954,8407.79168429404,265.9917808317968,0.0,0.0,8141.799903462243,,,,
499,9203.208861787532,9673.635180615289,253.81700854548168,0.0,0.0,9419.818172069807,,,,
500,11046.11456526612,11055.405763433339,241.8928381395999,0.0,0.0,10813.512925293739,,,,
501,12442.84032866658,12517.585489791813,232.68124196219284,0.0,0.0,12284.90424782962,,,,
502,13760.909300539235,14078.443984805634,222.9121336429125,0.0,0.0,13855.531851162721,,,,
503,15647.380609446189,15662.794629262036,214.17173970777202,0.0,0.0,15448.622889554264,,,,
